Шифр расценки и коды ресурсов,Наименование работ и затрат,Ед. изм.,Unnamed: 3,Наименование СПГЗ,ID,КПГЗ,Единицы измерения
5.3-3203-5-1/1,"Изготовление секций металлического ограждения газонов из профилированной трубы, масса секции до 10 кг",м2,1,Замена ограждения в рамках благоустройства территории,91740075.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,"Погонный метр,Штука"
5.3-3203-5-2/1,"Установка готовых секций металлического ограждения газонов из профилированной трубы, масса секции до 10 кг",м2,1,Замена ограждения в рамках благоустройства территории,91740075.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,"Погонный метр,Штука"
5.3-3203-5-2/2,"Установка секций металлического ограждения газонов из профилированной трубы, масса секции до 10 кг (без стоимости секции ограждения)",м2,1,Замена ограждения в рамках благоустройства территории,91740075.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,"Погонный метр,Штука"
5.3-3203-6-1/1,Установка железобетонных оград из панелей длиной 4 м,100 м,1,Установка забора в рамках благоустройства территории,91740345.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3203-6-2/1,Установка железобетонных оград из панелей длиной 3 м,100 м,1,Установка забора в рамках благоустройства территории,91740345.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3203-6-3/1,"Установка железобетонных оград из панелей длиной 4,8 м при шаге столбов 2,4 м",100 м,1,Установка забора в рамках благоустройства территории,91740345.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3203-6-4/1,"Установка металлических оград по железобетонным столбам с цоколем из железобетонных панелей из сетчатых панелей высотой до 1,6 м",100 м,1,Установка забора в рамках благоустройства территории,91740345.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3203-6-5/1,Установка металлических оград по железобетонным столбам с цоколем из железобетонных панелей из сетчатых панелей высотой до 2 м (без стоимости монтажных связей),100 м,1,Установка забора в рамках благоустройства территории,91740345.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3203-6-6/1,"Установка металлических оград по железобетонным столбам без цоколя из сетки высотой до 1,7 м (без стоимости монтажных связей)",100 м,1,Установка забора в рамках благоустройства территории,91740345.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3203-6-7/1,"Установка металлических оград по железобетонным столбам без цоколя из сетки высотой до 2,2 м (без стоимости монтажных связей)",100 м,1,Установка забора в рамках благоустройства территории,91740345.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3203-6-8/1,"Установка металлических оград по железобетонным столбам без цоколя из сетчатых панелей высотой до 1,2 м (без стоимости монтажных связей)",100 м,1,Установка забора в рамках благоустройства территории,91740345.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
